Simplified Classification Report:
Class	Precision	Recall	F1-Score
0	0.91	0.98	0.95
1	0.91	0.96	0.93
2	0.97	0.95	0.96
3	0.91	0.95	0.93
4	0.94	0.93	0.94
5	0.94	0.86	0.89
6	0.91	0.96	0.93
7	0.98	0.90	0.94
8	0.94	0.90	0.92
9	0.92	0.91	0.92
10	0.91	0.85	0.88
11	0.94	0.87	0.90
12	0.90	0.91	0.90
13	0.91	0.87	0.89
14	0.93	0.95	0.94
15	0.93	0.96	0.95
16	0.96	0.95	0.95
17	0.96	0.95	0.95
18	0.95	0.97	0.96
19	0.94	0.95	0.95
20	0.94	0.96	0.95
21	0.60	0.92	0.73
22	0.57	0.86	0.69
23	0.57	0.87	0.69
24	0.68	0.85	0.76
25	0.63	0.85	0.73
26	0.65	0.87	0.74
27	0.64	0.90	0.74
28	0.74	0.91	0.82
29	0.73	0.93	0.82
30	0.85	0.95	0.90
31	0.88	0.91	0.90
32	0.86	0.90	0.88
33	0.86	0.93	0.90
34	0.94	0.91	0.92
35	0.79	0.97	0.87
36	0.87	0.92	0.90
37	0.85	0.94	0.89
38	0.68	0.81	0.74
39	0.58	0.86	0.69
40	0.79	0.89	0.84
41	0.92	0.89	0.90
42	0.71	0.87	0.78
43	0.86	0.88	0.87
44	0.72	0.90	0.80
45	0.81	0.85	0.83
46	0.71	0.90	0.79
47	0.79	0.88	0.83
48	0.85	0.93	0.89
49	0.63	0.89	0.74
50	0.86	0.93	0.89
51	0.69	0.91	0.78
52	0.85	0.90	0.87
53	0.67	0.91	0.77
54	0.62	0.84	0.72
55	0.77	0.83	0.80
56	0.74	0.87	0.80
57	0.65	0.90	0.75
58	0.76	0.91	0.83
59	0.80	0.86	0.83
60	0.89	0.85	0.87
61	0.90	0.92	0.91
62	0.78	0.82	0.80
63	0.70	0.84	0.77
64	0.65	0.82	0.72
65	0.71	0.82	0.76
66	0.71	0.85	0.77
67	0.90	0.88	0.89
68	0.85	0.87	0.86
69	0.72	0.84	0.77
70	0.72	0.88	0.79
71	0.72	0.88	0.79
72	0.70	0.83	0.76
73	0.68	0.87	0.76
74	0.67	0.87	0.75
75	0.76	0.87	0.81
76	0.65	0.85	0.74
77	0.70	0.87	0.78
78	0.72	0.87	0.79
79	0.69	0.85	0.77
80	0.76	0.85	0.80
81	0.81	0.89	0.85
82	0.66	0.86	0.75
83	0.73	0.86	0.79
84	0.70	0.82	0.76
85	0.68	0.87	0.76
86	0.78	0.88	0.82
87	0.73	0.84	0.79
88	0.75	0.83	0.79
89	0.78	0.81	0.80
90	0.76	0.89	0.82
91	0.77	0.85	0.81
92	0.78	0.88	0.83
93	0.90	0.92	0.91
94	0.82	0.86	0.84
95	0.83	0.81	0.82
96	0.75	0.86	0.80
97	0.86	0.83	0.84
98	0.85	0.84	0.85
99	0.79	0.79	0.79
100	0.87	0.84	0.86
101	0.85	0.90	0.88
102	0.84	0.85	0.85
103	0.83	0.88	0.85
104	0.80	0.83	0.81
105	0.79	0.87	0.83
106	0.84	0.90	0.87
107	0.81	0.82	0.81
108	0.82	0.84	0.83
109	0.93	0.95	0.94
110	0.85	0.86	0.85
111	0.91	0.88	0.89
112	0.92	0.85	0.89
113	0.91	0.92	0.91
114	0.81	0.87	0.84
115	0.83	0.87	0.85
116	0.85	0.83	0.84
117	0.86	0.84	0.85
118	0.81	0.85	0.83
119	0.85	0.84	0.85
120	0.84	0.87	0.86
121	0.81	0.83	0.82
122	0.85	0.86	0.86
123	0.84	0.86	0.85
124	0.88	0.87	0.88
125	0.81	0.81	0.81
126	0.82	0.86	0.84
127	0.85	0.85	0.85
128	0.85	0.84	0.85
129	0.85	0.81	0.83
130	0.79	0.84	0.81
131	0.88	0.77	0.82
132	0.92	0.86	0.89
133	0.84	0.83	0.84
134	0.85	0.89	0.87
135	0.83	0.82	0.83
136	0.89	0.81	0.85
137	0.81	0.85	0.83
138	0.87	0.84	0.86
139	0.90	0.82	0.86
140	0.87	0.90	0.89
141	0.93	0.84	0.88
142	0.89	0.82	0.85
143	0.78	0.84	0.81
144	0.86	0.84	0.85
145	0.88	0.82	0.85
146	0.84	0.88	0.86
147	0.84	0.83	0.83
148	0.82	0.84	0.83
149	0.87	0.86	0.86
150	0.89	0.86	0.87
151	0.86	0.82	0.84
152	0.88	0.84	0.86
153	0.89	0.81	0.85
154	0.91	0.85	0.88
155	0.90	0.83	0.86
156	0.88	0.80	0.84
157	0.88	0.95	0.91
158	0.87	0.88	0.88
159	0.85	0.88	0.86
160	0.86	0.90	0.88
161	0.92	0.80	0.85
162	0.88	0.85	0.86
163	0.88	0.86	0.87
164	0.90	0.85	0.88
165	0.87	0.85	0.86
166	0.87	0.85	0.86
167	0.85	0.87	0.86
168	0.85	0.86	0.85
169	0.88	0.85	0.86
170	0.87	0.90	0.89
171	0.94	0.92	0.93
172	0.92	0.82	0.87
173	0.85	0.87	0.86
174	0.85	0.84	0.85
175	0.86	0.83	0.84
176	0.90	0.87	0.88
177	0.87	0.82	0.84
178	0.90	0.84	0.87
179	0.93	0.89	0.91
180	0.89	0.83	0.86
181	0.86	0.86	0.86
182	0.89	0.88	0.88
183	0.93	0.82	0.87
184	0.85	0.82	0.84
185	0.88	0.84	0.86
186	0.85	0.92	0.88
187	0.91	0.85	0.88
188	0.93	0.91	0.92
189	0.90	0.88	0.89
190	0.87	0.81	0.84
191	0.85	0.85	0.85
192	0.83	0.83	0.83
193	0.91	0.83	0.87
194	0.93	0.81	0.87
195	0.88	0.80	0.84
196	0.86	0.86	0.86
197	0.86	0.79	0.83
198	0.89	0.85	0.87
199	0.87	0.87	0.87
200	0.92	0.83	0.87
201	0.92	0.85	0.88
202	0.88	0.89	0.88
203	0.88	0.84	0.86
204	0.90	0.86	0.88
205	0.89	0.83	0.86
206	0.89	0.81	0.85
207	0.89	0.83	0.86
208	0.82	0.81	0.82
209	0.92	0.80	0.86
210	0.85	0.87	0.86
211	0.88	0.84	0.86
212	0.90	0.84	0.87
213	0.90	0.80	0.84
214	0.88	0.85	0.86
215	0.90	0.84	0.87
216	0.91	0.82	0.86
217	0.92	0.81	0.86
218	0.90	0.86	0.88
219	0.88	0.87	0.88
220	0.91	0.87	0.89
221	0.92	0.82	0.87
222	0.92	0.86	0.89
223	0.90	0.79	0.84
224	0.85	0.90	0.87
225	0.92	0.86	0.89
226	0.94	0.93	0.93
227	0.96	0.93	0.94
228	0.92	0.84	0.88
229	0.92	0.89	0.91
230	0.96	0.94	0.95
231	0.87	0.84	0.85
232	0.90	0.87	0.88
233	0.86	0.87	0.86
234	0.92	0.88	0.90
235	0.93	0.88	0.90
236	0.90	0.85	0.87
237	0.85	0.85	0.85
238	0.87	0.82	0.85
239	0.93	0.86	0.89
240	0.86	0.85	0.85
241	0.87	0.85	0.86
242	0.83	0.85	0.84
243	0.88	0.87	0.87
244	0.91	0.83	0.87
245	0.94	0.90	0.92
246	0.91	0.86	0.88
247	0.88	0.88	0.88
248	0.91	0.81	0.86
249	0.86	0.86	0.86
250	0.89	0.82	0.85
251	0.91	0.86	0.89
252	0.90	0.83	0.86
253	0.90	0.86	0.88
254	0.89	0.83	0.86
255	0.92	0.91	0.91
256	0.91	0.85	0.88
257	0.94	0.86	0.90
258	0.90	0.83	0.86
259	0.89	0.83	0.86
260	0.94	0.80	0.86
261	0.92	0.81	0.86
262	0.94	0.83	0.88
263	0.93	0.80	0.86
264	0.90	0.86	0.88
265	0.90	0.86	0.88
266	0.94	0.88	0.91
267	0.88	0.85	0.87
268	0.95	0.90	0.93
269	0.88	0.83	0.86
270	0.91	0.87	0.89
271	0.88	0.86	0.87
272	0.91	0.81	0.86
273	0.90	0.91	0.90
274	0.87	0.85	0.86
275	0.90	0.87	0.88
276	0.90	0.86	0.88
277	0.86	0.91	0.89
278	0.92	0.80	0.86
279	0.93	0.83	0.87
280	0.89	0.92	0.90
281	0.89	0.85	0.87
282	0.89	0.93	0.91
283	0.95	0.96	0.96
284	0.90	0.88	0.89
285	0.94	0.87	0.90
